locus_tag	ftype	length_bp	gene	EC_number	COG	product
COOAFFBM_04033	CDS	342	frwD	2.7.1.202	COG1445	PTS system fructose-like EIIB component 3
COOAFFBM_04034	CDS	879	bssD	1.97.1.-		Benzylsuccinate synthase activating enzyme
COOAFFBM_04035	CDS	2298	cutC_2	4.3.99.4	COG1882	Choline trimethylamine-lyase
COOAFFBM_04036	CDS	321	fryB_2	2.7.1.202	COG1445	PTS system fructose-like EIIB component 1
COOAFFBM_04037	CDS	1080	manP_3		COG1299	PTS system mannose-specific EIIBCA component
COOAFFBM_04038	CDS	2502	fryA_2		COG1080	Multiphosphoryl transfer protein 1
COOAFFBM_04039	CDS	663	fsaB	4.1.2.-	COG0176	Fructose-6-phosphate aldolase 2
COOAFFBM_04040	CDS	1104	gldA	1.1.1.6	COG0371	Glycerol dehydrogenase
COOAFFBM_04041	CDS	618				hypothetical protein
COOAFFBM_04042	CDS	906	yijE			putative cystine transporter YijE
COOAFFBM_04043	CDS	2181	katG	1.11.1.21	COG0376	Catalase-peroxidase
COOAFFBM_04044	CDS	891	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
COOAFFBM_04045	CDS	2433	metL		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 2
COOAFFBM_04046	CDS	1161	metB	2.5.1.48	COG0626	Cystathionine gamma-synthase
COOAFFBM_04047	CDS	318	metJ		COG3060	Met repressor
COOAFFBM_04048	CDS	450				hypothetical protein
COOAFFBM_04049	CDS	180				hypothetical protein
COOAFFBM_04050	CDS	273			COG1662	IS1 family transposase IS1H
COOAFFBM_04051	CDS	279				hypothetical protein
COOAFFBM_04052	CDS	237				hypothetical protein
COOAFFBM_04053	CDS	462				hypothetical protein
COOAFFBM_04054	CDS	1155	xerC_5			Tyrosine recombinase XerC
COOAFFBM_04055	CDS	825				hypothetical protein
COOAFFBM_04056	CDS	1200				hypothetical protein
COOAFFBM_04057	CDS	585	ais_2	3.1.3.-		Lipopolysaccharide core heptose(II)-phosphate phosphatase
COOAFFBM_04058	CDS	459				hypothetical protein
COOAFFBM_04059	CDS	819				hypothetical protein
COOAFFBM_04060	CDS	1149	yggR_2		COG2805	putative protein YggR
COOAFFBM_04061	CDS	291				hypothetical protein
COOAFFBM_04062	CDS	552	pld	3.1.4.4		Phospholipase D
COOAFFBM_04063	CDS	3765				hypothetical protein
COOAFFBM_04064	CDS	348				hypothetical protein
COOAFFBM_04065	CDS	693				hypothetical protein
COOAFFBM_04066	CDS	984				hypothetical protein
COOAFFBM_04067	CDS	1290				hypothetical protein
COOAFFBM_04068	CDS	705				hypothetical protein
COOAFFBM_04069	CDS	528				hypothetical protein
COOAFFBM_04070	CDS	405				hypothetical protein
COOAFFBM_04071	CDS	189				hypothetical protein
COOAFFBM_04072	CDS	801				hypothetical protein
COOAFFBM_04073	CDS	3045				hypothetical protein
COOAFFBM_04074	CDS	615				hypothetical protein
COOAFFBM_04075	CDS	1203				hypothetical protein
COOAFFBM_04076	CDS	585				hypothetical protein
COOAFFBM_04077	CDS	2169				hypothetical protein
COOAFFBM_04078	CDS	615				hypothetical protein
COOAFFBM_04079	CDS	210	ymoA			Modulating protein YmoA
COOAFFBM_04080	CDS	177				hypothetical protein
COOAFFBM_04081	CDS	297				hypothetical protein
COOAFFBM_04082	CDS	252				hypothetical protein
COOAFFBM_04083	CDS	156	pndA			Protein PndA
COOAFFBM_04084	CDS	1086				hypothetical protein
COOAFFBM_04085	CDS	1209				hypothetical protein
COOAFFBM_04086	CDS	1071				hypothetical protein
COOAFFBM_04087	CDS	2292				hypothetical protein
COOAFFBM_04088	CDS	2700				hypothetical protein
COOAFFBM_04089	CDS	333				hypothetical protein
COOAFFBM_04090	CDS	336				hypothetical protein
COOAFFBM_04091	CDS	849				hypothetical protein
COOAFFBM_04092	CDS	252				hypothetical protein
COOAFFBM_04093	CDS	207				hypothetical protein
COOAFFBM_04094	CDS	915				ISNCY family transposase ISRor2
COOAFFBM_04095	CDS	390				hypothetical protein
COOAFFBM_04096	CDS	267				hypothetical protein
COOAFFBM_04097	CDS	435				hypothetical protein
COOAFFBM_04098	CDS	639				hypothetical protein
COOAFFBM_04099	CDS	621	fklB	5.2.1.8	COG0545	FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase
COOAFFBM_04100	CDS	1413	cycA		COG1113	D-serine/D-alanine/glycine transporter
COOAFFBM_04101	CDS	663	ytfE		COG2846	Iron-sulfur cluster repair protein YtfE
COOAFFBM_04102	CDS	966	ytfF			Inner membrane protein YtfF
COOAFFBM_04103	CDS	861	qorB	1.6.5.2	COG0702	Quinone oxidoreductase 2
COOAFFBM_04104	CDS	381				hypothetical protein
COOAFFBM_04105	CDS	1944	cpdB	3.1.3.6	COG0737	2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase
COOAFFBM_04106	CDS	741	cysQ	3.1.3.7	COG1218	3'(2'),5'-bisphosphate nucleotidase CysQ
COOAFFBM_04107	CDS	558	ytfJ_2		COG3054	putative protein YtfJ
COOAFFBM_04108	CDS	207				hypothetical protein
COOAFFBM_04109	CDS	1344				hypothetical protein
COOAFFBM_04110	CDS	639	msrA	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
COOAFFBM_04111	CDS	1734	tamA		COG0729	Translocation and assembly module subunit TamA
COOAFFBM_04112	CDS	3780	tamB		COG2911	Translocation and assembly module subunit TamB
COOAFFBM_04113	CDS	342	ytfP		COG2105	Gamma-glutamylcyclotransferase family protein YtfP
COOAFFBM_04114	CDS	252	chpS			Antitoxin ChpS
COOAFFBM_04115	CDS	315	chpB	3.1.-.-	COG2337	Endoribonuclease toxin ChpB
COOAFFBM_04116	CDS	531	ppa	3.6.1.1	COG0221	Inorganic pyrophosphatase
COOAFFBM_04117	CDS	957	ytfQ			ABC transporter periplasmic-binding protein YtfQ
COOAFFBM_04118	CDS	1503	fruK_2	7.5.2.-	COG1129	Fructose import ATP-binding protein FruK
COOAFFBM_04119	CDS	1023	ytfT			Inner membrane ABC transporter permease protein YtfT
COOAFFBM_04120	CDS	996	yjfF			Inner membrane ABC transporter permease protein YjfF
COOAFFBM_04121	CDS	999	fbp	3.1.3.11	COG0158	Fructose-1,6-bisphosphatase class 1
COOAFFBM_04122	CDS	1374	mpl	6.3.2.45	COG0773	UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptandioate ligase
COOAFFBM_04123	CDS	552				hypothetical protein
COOAFFBM_04124	CDS	1353	pmbA	3.4.-.-	COG0312	Metalloprotease PmbA
COOAFFBM_04125	CDS	387	cybC		COG3783	Soluble cytochrome b562
COOAFFBM_04126	CDS	465	nrdG	1.97.1.-	COG0602	Anaerobic ribonucleoside-triphosphate reductase-activating protein
COOAFFBM_04127	CDS	2139	nrdD	1.1.98.6	COG1328	Anaerobic ribonucleoside-triphosphate reductase
COOAFFBM_04128	CDS	1656	treC	3.2.1.93	COG0366	Trehalose-6-phosphate hydrolase
COOAFFBM_04129	CDS	1422	treB		COG1263	PTS system trehalose-specific EIIBC component
COOAFFBM_04130	CDS	948	treR		COG1609	HTH-type transcriptional regulator TreR
COOAFFBM_04131	CDS	2697	mgtA	7.2.2.14	COG0474	Magnesium-transporting ATPase, P-type 1
COOAFFBM_04132	CDS	2361				hypothetical protein
COOAFFBM_04133	CDS	564				hypothetical protein
COOAFFBM_04134	CDS	1836				hypothetical protein
COOAFFBM_04135	CDS	288				hypothetical protein
COOAFFBM_04136	CDS	1530				hypothetical protein
COOAFFBM_04137	CDS	1218	intA_3		COG0582	Prophage integrase IntA
COOAFFBM_04138	CDS	987				hypothetical protein
COOAFFBM_04139	CDS	492				hypothetical protein
COOAFFBM_04140	CDS	300				IS3 family transposase IS3
COOAFFBM_04141	CDS	867				IS3 family transposase IS3
COOAFFBM_04142	CDS	1359	dgcT	2.7.7.65		putative diguanylate cyclase DgcT
COOAFFBM_04143	CDS	2424	pgaA			Poly-beta-1,6-N-acetyl-D-glucosamine export protein
COOAFFBM_04144	CDS	2019	pgaB	3.5.1.-	COG0726	Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase
COOAFFBM_04145	CDS	1326	pgaC	2.4.1.-	COG1215	Poly-beta-1,6-N-acetyl-D-glucosamine synthase
COOAFFBM_04146	CDS	414	pgaD			Biofilm PGA synthesis protein PgaD
COOAFFBM_04147	CDS	789	phoH		COG1702	Protein PhoH
COOAFFBM_04148	CDS	297				hypothetical protein
COOAFFBM_04149	CDS	1272	efeB	1.11.1.-	COG2837	Deferrochelatase/peroxidase EfeB
COOAFFBM_04150	CDS	1128	efeO		COG2822	Iron uptake system component EfeO
COOAFFBM_04151	CDS	831	efeU		COG0672	Ferrous iron permease EfeU
COOAFFBM_04152	CDS	1509	putP		COG0591	Sodium/proline symporter
COOAFFBM_04153	CDS	210				hypothetical protein
COOAFFBM_04154	CDS	3963	putA		COG0506	Bifunctional protein PutA
COOAFFBM_04155	CDS	639	rutR		COG1309	HTH-type transcriptional regulator RutR
COOAFFBM_04156	CDS	1092	rutA	1.14.99.46	COG2141	Pyrimidine monooxygenase RutA
COOAFFBM_04157	CDS	696	rutB	3.5.1.110	COG1335	Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
COOAFFBM_04158	CDS	387	rutC	1.-.-.-	COG0251	Putative aminoacrylate peracid reductase RutC
COOAFFBM_04159	CDS	801	rutD	3.5.1.-		Putative aminoacrylate hydrolase RutD
COOAFFBM_04160	CDS	591	rutE	1.1.1.298	COG0778	putative malonic semialdehyde reductase RutE
COOAFFBM_04161	CDS	495	rutF	1.5.1.42	COG1853	FMN reductase (NADH) RutF
COOAFFBM_04162	CDS	1329	rutG		COG2233	Putative pyrimidine permease RutG
COOAFFBM_04163	CDS	174				hypothetical protein
COOAFFBM_04164	CDS	117				hypothetical protein
COOAFFBM_04165	CDS	768	yfcO			putative protein YfcO
COOAFFBM_04166	CDS	525	yfcP			putative fimbrial-like protein YfcP
COOAFFBM_04167	CDS	471	yfcQ			putative fimbrial-like protein YfcQ
COOAFFBM_04168	CDS	507	yfcR			putative fimbrial-like protein YfcR
COOAFFBM_04169	CDS	753	yfcS		COG3121	putative fimbrial chaperone YfcS
COOAFFBM_04170	CDS	2643	papC_2		COG3188	Outer membrane usher protein PapC
COOAFFBM_04171	CDS	564	yfcV			putative fimbrial-like protein YfcV
COOAFFBM_04172	CDS	486	sixA	3.1.3.-	COG2062	Phosphohistidine phosphatase SixA
COOAFFBM_04173	CDS	2145	fadJ		COG1024	Fatty acid oxidation complex subunit alpha
COOAFFBM_04174	CDS	1311	fadI	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase FadI
COOAFFBM_04175	CDS	285				hypothetical protein
COOAFFBM_04176	CDS	1341	fadL		COG2067	Long-chain fatty acid transport protein
COOAFFBM_04177	CDS	1059				hypothetical protein
COOAFFBM_04178	CDS	756	mlaA		COG2853	Intermembrane phospholipid transport system lipoprotein MlaA
COOAFFBM_04179	CDS	933	yfdC		COG2116	Inner membrane protein YfdC
COOAFFBM_04180	tRNA	75				tRNA-Arg(cct)
COOAFFBM_04181	CDS	1158	intS_3		COG0582	Prophage integrase IntS
COOAFFBM_04182	CDS	1911				hypothetical protein
COOAFFBM_04183	CDS	1980				hypothetical protein
COOAFFBM_04184	CDS	879				hypothetical protein
COOAFFBM_04185	CDS	141				hypothetical protein
COOAFFBM_04186	CDS	252				hypothetical protein
COOAFFBM_04187	CDS	315				hypothetical protein
COOAFFBM_04188	CDS	486				hypothetical protein
COOAFFBM_04189	CDS	1845				hypothetical protein
COOAFFBM_04190	CDS	1467				hypothetical protein
COOAFFBM_04191	CDS	693				hypothetical protein
COOAFFBM_04192	CDS	456				hypothetical protein
COOAFFBM_04193	CDS	849				hypothetical protein
COOAFFBM_04194	CDS	1419				hypothetical protein
COOAFFBM_04195	CDS	483				hypothetical protein
COOAFFBM_04196	CDS	186				hypothetical protein
COOAFFBM_04197	CDS	1272				hypothetical protein
COOAFFBM_04198	CDS	885				hypothetical protein
COOAFFBM_04199	CDS	2091				hypothetical protein
COOAFFBM_04200	CDS	1413			COG1783	putative protein
COOAFFBM_04201	CDS	441				hypothetical protein
COOAFFBM_04202	CDS	243				hypothetical protein
COOAFFBM_04203	CDS	873	era_3			GTPase Era
COOAFFBM_04204	CDS	1020				hypothetical protein
COOAFFBM_04205	CDS	216				hypothetical protein
COOAFFBM_04206	CDS	573				hypothetical protein
COOAFFBM_04207	CDS	207				hypothetical protein
COOAFFBM_04208	CDS	213	hha_2			Hemolysin expression-modulating protein Hha
COOAFFBM_04209	CDS	174				hypothetical protein
COOAFFBM_04210	CDS	570				hypothetical protein
COOAFFBM_04211	CDS	384				hypothetical protein
COOAFFBM_04212	CDS	117				hypothetical protein
COOAFFBM_04213	CDS	183				hypothetical protein
COOAFFBM_04214	CDS	624				hypothetical protein
COOAFFBM_04215	CDS	234				hypothetical protein
COOAFFBM_04216	CDS	498				hypothetical protein
COOAFFBM_04217	CDS	1362				hypothetical protein
COOAFFBM_04218	CDS	1245				hypothetical protein
COOAFFBM_04219	CDS	1746	rep_2	3.6.4.12		ATP-dependent DNA helicase Rep
COOAFFBM_04220	CDS	309				hypothetical protein
COOAFFBM_04221	CDS	228				hypothetical protein
COOAFFBM_04222	CDS	645				hypothetical protein
COOAFFBM_04223	CDS	324				hypothetical protein
COOAFFBM_04224	CDS	198				IS481 family transposase ISEc18
COOAFFBM_04225	CDS	207				hypothetical protein
COOAFFBM_04226	CDS	267				IS630 family transposase ISSpu2
COOAFFBM_04227	CDS	477				hypothetical protein
COOAFFBM_04228	CDS	1479				hypothetical protein
COOAFFBM_04229	CDS	507				hypothetical protein
COOAFFBM_04230	CDS	423				hypothetical protein
COOAFFBM_04231	CDS	1803				hypothetical protein
COOAFFBM_04232	CDS	933				hypothetical protein
COOAFFBM_04233	CDS	1983	vgrG1_1	6.3.2.-		Actin cross-linking toxin VgrG1
COOAFFBM_04234	CDS	468				hypothetical protein
COOAFFBM_04235	CDS	300				hypothetical protein
COOAFFBM_04236	CDS	1077				hypothetical protein
COOAFFBM_04237	CDS	552				hypothetical protein
COOAFFBM_04238	CDS	1413				hypothetical protein
COOAFFBM_04239	CDS	219				hypothetical protein
COOAFFBM_04240	CDS	591				hypothetical protein
COOAFFBM_04241	CDS	3405				hypothetical protein
COOAFFBM_04242	CDS	2550	clpV1_1		COG0542	Protein ClpV1
COOAFFBM_04243	CDS	228	pptA	5.3.2.-	COG1942	Tautomerase PptA
COOAFFBM_04244	CDS	570				hypothetical protein
COOAFFBM_04245	CDS	846	nhoA	2.3.1.5	COG2162	Arylamine N-acetyltransferase
COOAFFBM_04246	CDS	894	yddE	5.1.-.-	COG0384	putative isomerase YddE
COOAFFBM_04247	CDS	681	narV	1.7.5.1	COG2181	Respiratory nitrate reductase 2 gamma chain
COOAFFBM_04248	CDS	696	narW		COG2180	putative nitrate reductase molybdenum cofactor assembly chaperone NarW
COOAFFBM_04249	CDS	1545	narY	1.7.5.1	COG1140	Respiratory nitrate reductase 2 beta chain
COOAFFBM_04250	CDS	3741	narZ	1.7.5.1	COG5013	Respiratory nitrate reductase 2 alpha chain
COOAFFBM_04251	CDS	1389	narU		COG2223	Nitrate/nitrite transporter NarU
COOAFFBM_04252	CDS	1332				hypothetical protein
COOAFFBM_04253	CDS	291	ompD_2		COG3203	Outer membrane porin protein OmpD
COOAFFBM_04254	CDS	825	yddG		COG0697	Aromatic amino acid exporter YddG
COOAFFBM_04255	CDS	588	fdnG_1	1.17.5.3	COG0243	Formate dehydrogenase, nitrate-inducible, major subunit
COOAFFBM_04256	CDS	2412	fdnG_2	1.17.5.3	COG0243	Formate dehydrogenase, nitrate-inducible, major subunit
COOAFFBM_04257	CDS	885	fdnH_2		COG0437	Formate dehydrogenase, nitrate-inducible, iron-sulfur subunit
COOAFFBM_04258	CDS	654	fdnI		COG2864	Formate dehydrogenase, nitrate-inducible, cytochrome b556(Fdn) subunit
COOAFFBM_04259	CDS	285	yddM		COG3093	putative HTH-type transcriptional regulator YddM
COOAFFBM_04260	CDS	1011	adhP	1.1.1.1	COG1064	Alcohol dehydrogenase, propanol-preferring
COOAFFBM_04261	CDS	1698	maeA	1.1.1.38	COG0281	NAD-dependent malic enzyme
COOAFFBM_04262	CDS	138	sra			Stationary-phase-induced ribosome-associated protein
COOAFFBM_04263	CDS	216	bdm			Protein bdm
COOAFFBM_04264	CDS	432	osmC	1.11.1.15	COG1764	Peroxiredoxin OsmC
COOAFFBM_04265	CDS	927	ddpF		COG1124	putative D,D-dipeptide transport ATP-binding protein DdpF
COOAFFBM_04266	CDS	987	ddpD		COG0444	putative D,D-dipeptide transport ATP-binding protein DdpD
COOAFFBM_04267	CDS	897	ddpC		COG1173	putative D,D-dipeptide transport system permease protein DdpC
COOAFFBM_04268	CDS	1023	ddpB		COG0601	putative D,D-dipeptide transport system permease protein DdpB
COOAFFBM_04269	CDS	1551	ddpA		COG0747	putative D,D-dipeptide-binding periplasmic protein DdpA
COOAFFBM_04270	CDS	582	ddpX	3.4.13.22	COG2173	D-alanyl-D-alanine dipeptidase
COOAFFBM_04271	CDS	2400	dosP	3.1.4.52	COG2199	Oxygen sensor protein DosP
COOAFFBM_04272	CDS	1383	dosC	2.7.7.65		Diguanylate cyclase DosC
COOAFFBM_04273	CDS	1320				hypothetical protein
COOAFFBM_04274	CDS	1536	gadC		COG0531	putative glutamate/gamma-aminobutyrate antiporter
COOAFFBM_04275	CDS	336				hypothetical protein
COOAFFBM_04276	CDS	519	hcpA_1		COG3157	Major exported protein
COOAFFBM_04277	CDS	501				hypothetical protein
COOAFFBM_04278	CDS	225				hypothetical protein
COOAFFBM_04279	CDS	1476				hypothetical protein
COOAFFBM_04280	CDS	414				hypothetical protein
COOAFFBM_04281	CDS	1851				hypothetical protein
COOAFFBM_04282	CDS	1083				hypothetical protein
COOAFFBM_04283	CDS	1281				hypothetical protein
COOAFFBM_04284	CDS	525				hypothetical protein
COOAFFBM_04285	CDS	1332				hypothetical protein
COOAFFBM_04286	CDS	762				hypothetical protein
COOAFFBM_04287	CDS	2760	clpV1_2		COG0542	Protein ClpV1
COOAFFBM_04288	CDS	744				hypothetical protein
COOAFFBM_04289	CDS	1416				hypothetical protein
COOAFFBM_04290	CDS	3525				hypothetical protein
COOAFFBM_04291	CDS	1353				hypothetical protein
COOAFFBM_04292	CDS	483	hcpA_2		COG3157	Major exported protein
COOAFFBM_04293	CDS	915				hypothetical protein
COOAFFBM_04294	CDS	480				hypothetical protein
COOAFFBM_04295	CDS	786				hypothetical protein
COOAFFBM_04296	tRNA	77				tRNA-Asp(gtc)
COOAFFBM_04297	CDS	741	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
COOAFFBM_04298	CDS	468	rnhA	3.1.26.4	COG0328	Ribonuclease HI
COOAFFBM_04299	CDS	723				hypothetical protein
COOAFFBM_04300	CDS	756	gloB	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloB
COOAFFBM_04301	CDS	1221	mltD	4.2.2.-	COG0741	Membrane-bound lytic murein transglycosylase D
COOAFFBM_04302	CDS	771	ycgJ	2.1.1.-		putative methyltransferase YcgJ
COOAFFBM_04303	CDS	780				hypothetical protein
COOAFFBM_04304	CDS	915	dmlR_4			HTH-type transcriptional regulator DmlR
COOAFFBM_04305	CDS	804	dkgB	1.1.1.346	COG0656	2,5-diketo-D-gluconic acid reductase B
COOAFFBM_04306	CDS	1680	bcsG			Cellulose biosynthesis protein BcsG
COOAFFBM_04307	CDS	192				hypothetical protein
COOAFFBM_04308	CDS	1377	bcsE			Cyclic di-GMP binding protein BcsE
COOAFFBM_04309	CDS	189	yhjR			Protein YhjR
COOAFFBM_04310	CDS	753	bcsQ			Cellulose biosynthesis protein BcsQ
COOAFFBM_04311	CDS	2619	bcsA	2.4.1.12	COG1215	Cellulose synthase catalytic subunit [UDP-forming]
COOAFFBM_04312	CDS	2304	bcsB			Cyclic di-GMP-binding protein
COOAFFBM_04313	CDS	1107	bcsZ	3.2.1.4	COG3405	Endoglucanase
COOAFFBM_04314	CDS	3474	bcsC		COG0457	Cellulose synthase operon protein C
COOAFFBM_04315	CDS	1950	pdeK	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeK
COOAFFBM_04316	CDS	1287	dctA		COG1301	Aerobic C4-dicarboxylate transport protein
COOAFFBM_04317	CDS	1497	yhjJ		COG0612	Protein YhjJ
COOAFFBM_04318	CDS	930	kdgK_2	2.7.1.45		2-dehydro-3-deoxygluconokinase
COOAFFBM_04319	CDS	768	pdeH	3.1.4.52		Cyclic di-GMP phosphodiesterase PdeH
COOAFFBM_04320	CDS	2061				hypothetical protein
COOAFFBM_04321	CDS	1323	yhjE			Inner membrane metabolite transport protein YhjE
COOAFFBM_04322	CDS	1014	yhjD		COG1295	Inner membrane protein YhjD
COOAFFBM_04323	CDS	972	dmlR_5			HTH-type transcriptional regulator DmlR
COOAFFBM_04324	CDS	603	yhjB			Putative HTH-type transcriptional regulator YhjB
COOAFFBM_04325	CDS	1650	treF	3.2.1.28	COG1626	Cytoplasmic trehalase
COOAFFBM_04326	CDS	1398				hypothetical protein
COOAFFBM_04327	CDS	387	ridA	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
COOAFFBM_04328	CDS	462	pyrI		COG1781	Aspartate carbamoyltransferase regulatory chain
COOAFFBM_04329	CDS	936	pyrB	2.1.3.2	COG0540	Aspartate carbamoyltransferase catalytic subunit
COOAFFBM_04330	CDS	396	yjgH		COG0251	RutC family protein YjgH
COOAFFBM_04331	CDS	714	bdcA		COG1028	Cyclic-di-GMP-binding biofilm dispersal mediator protein
COOAFFBM_04332	CDS	594	bdcR			HTH-type transcriptional repressor BdcR
COOAFFBM_04333	CDS	453	tabA		COG2731	Toxin-antitoxin biofilm protein TabA
COOAFFBM_04334	CDS	1320	yjgL_1			putative protein YjgL
COOAFFBM_04335	CDS	231	yjgL_2			putative protein YjgL
COOAFFBM_04336	CDS	1005	argI	2.1.3.3	COG0078	Ornithine carbamoyltransferase subunit I
COOAFFBM_04337	CDS	417	rraB		COG3076	Regulator of ribonuclease activity B
COOAFFBM_04338	CDS	504				hypothetical protein
COOAFFBM_04339	CDS	1197	yjgN		COG4269	Inner membrane protein YjgN
COOAFFBM_04340	CDS	2856	valS	6.1.1.9	COG0525	Valine--tRNA ligase
COOAFFBM_04341	CDS	483	holC	2.7.7.7	COG2927	DNA polymerase III subunit chi
COOAFFBM_04342	CDS	1512	pepA	3.4.11.1	COG0260	Cytosol aminopeptidase
COOAFFBM_04343	CDS	1080	lptF		COG0795	Lipopolysaccharide export system permease protein LptF
COOAFFBM_04344	CDS	1083	lptG_2		COG0795	Lipopolysaccharide export system permease protein LptG
COOAFFBM_04345	CDS	1503				hypothetical protein
COOAFFBM_04346	CDS	999	gntR_2			HTH-type transcriptional regulator GntR
COOAFFBM_04347	CDS	1320	idnT		COG2610	Gnt-II system L-idonate transporter
COOAFFBM_04348	CDS	765	idnO	1.1.1.69		5-keto-D-gluconate 5-reductase
COOAFFBM_04349	CDS	1032	idnD	1.1.1.264	COG1063	L-idonate 5-dehydrogenase (NAD(P)(+))
COOAFFBM_04350	CDS	564	gntK_2	2.7.1.12	COG3265	Thermoresistant gluconokinase
COOAFFBM_04351	CDS	1020	ahr	1.1.1.2	COG1064	Aldehyde reductase Ahr
COOAFFBM_04352	tRNA	85				tRNA-Leu(caa)
COOAFFBM_04353	CDS	927	xerC_6			Tyrosine recombinase XerC
COOAFFBM_04354	CDS	1620				hypothetical protein
COOAFFBM_04355	CDS	1206				hypothetical protein
COOAFFBM_04356	CDS	294				hypothetical protein
COOAFFBM_04357	CDS	873				hypothetical protein
COOAFFBM_04358	CDS	381				hypothetical protein
COOAFFBM_04359	CDS	1590	purH		COG0138	Bifunctional purine biosynthesis protein PurH
COOAFFBM_04360	CDS	1290	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
COOAFFBM_04361	CDS	1326	zraR		COG2204	Transcriptional regulatory protein ZraR
COOAFFBM_04362	CDS	1377	zraS	2.7.13.3		Sensor protein ZraS
COOAFFBM_04363	CDS	129				hypothetical protein
COOAFFBM_04364	CDS	426	zraP		COG3678	Zinc resistance-associated protein
COOAFFBM_04365	CDS	636				hypothetical protein
COOAFFBM_04366	CDS	273	hupA			DNA-binding protein HU-alpha
COOAFFBM_04367	CDS	591			COG3068	putative protein
COOAFFBM_04368	CDS	672	nfi	3.1.21.7	COG1515	Endonuclease V
COOAFFBM_04369	CDS	1065	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
COOAFFBM_04370	CDS	774	nudC	3.6.1.22	COG2816	NADH pyrophosphatase
COOAFFBM_04371	CDS	477	rsd		COG3160	Regulator of sigma D
COOAFFBM_04372	CDS	1896	thiC	4.1.99.17	COG0422	Phosphomethylpyrimidine synthase
COOAFFBM_04373	CDS	636	thiE	2.5.1.3	COG0352	Thiamine-phosphate synthase
COOAFFBM_04374	CDS	756	thiF	2.7.7.73	COG0476	Sulfur carrier protein ThiS adenylyltransferase
COOAFFBM_04375	CDS	201	thiS		COG2104	Sulfur carrier protein ThiS
COOAFFBM_04376	CDS	771	thiG	2.8.1.10	COG2022	Thiazole synthase
COOAFFBM_04377	CDS	1134	thiH	4.1.99.19	COG1060	2-iminoacetate synthase
COOAFFBM_04378	CDS	540	htrC			Heat shock protein C
COOAFFBM_04379	CDS	4224	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
COOAFFBM_04380	CDS	4029	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
COOAFFBM_04381	CDS	366	rplL		COG0222	50S ribosomal protein L7/L12
COOAFFBM_04382	CDS	498	rplJ		COG0244	50S ribosomal protein L10
COOAFFBM_04383	CDS	705	rplA		COG0081	50S ribosomal protein L1
COOAFFBM_04384	CDS	429	rplK		COG0080	50S ribosomal protein L11
COOAFFBM_04385	CDS	546	nusG		COG0250	Transcription termination/antitermination protein NusG
COOAFFBM_04386	CDS	384	secE		COG0690	Protein translocase subunit SecE
COOAFFBM_04387	CDS	249				hypothetical protein
COOAFFBM_04388	CDS	567	ybgD_2			putative fimbrial-like protein YbgD
COOAFFBM_04389	CDS	1284	gltA	2.3.3.16	COG0372	Citrate synthase
COOAFFBM_04390	CDS	108	ybgU			Protein YbgU
COOAFFBM_04391	CDS	405	sdhC		COG2009	Succinate dehydrogenase cytochrome b556 subunit
COOAFFBM_04392	CDS	348	sdhD		COG2142	Succinate dehydrogenase hydrophobic membrane anchor subunit
COOAFFBM_04393	CDS	1767	sdhA	1.3.5.1	COG1053	Succinate dehydrogenase flavoprotein subunit
COOAFFBM_04394	CDS	717	sdhB	1.3.5.1	COG0479	Succinate dehydrogenase iron-sulfur subunit
COOAFFBM_04395	CDS	2802	sucA	1.2.4.2	COG0567	2-oxoglutarate dehydrogenase E1 component
COOAFFBM_04396	CDS	1218	sucB	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
COOAFFBM_04397	CDS	1167	sucC	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta
COOAFFBM_04398	CDS	870	sucD	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
COOAFFBM_04399	CDS	723	mngR_3		COG2188	Mannosyl-D-glycerate transport/metabolism system repressor MngR
COOAFFBM_04400	CDS	1917	mngA		COG1299	PTS system 2-O-alpha-mannosyl-D-glycerate-specific EIIABC component
COOAFFBM_04401	CDS	2634	mngB	3.2.1.-	COG0383	Mannosylglycerate hydrolase
